sort_column,total_samples,dataset,subset,transform,orientation,channel,group,kstest_stat_best,kstest_stat_cutoff_0.05,pass,beat_all_priors,failure_category,failure_type,github_plot,Notes,Column 1
56,262144000,agriVision,full,gabor,,blue,11,0.001724,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_11.jpg,,
57,262144000,agriVision,full,gabor,,blue,12,0.002304,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_12.jpg,,
58,262144000,agriVision,full,gabor,,blue,13,0.003748,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_13.jpg,,
59,262144000,agriVision,full,gabor,,blue,14,0.002285,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_14.jpg,,
60,262144000,agriVision,full,gabor,,blue,15,0.002069,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_15.jpg,,
61,262144000,agriVision,full,gabor,,blue,16,0.001264,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_16.jpg,,
62,262144000,agriVision,full,gabor,,blue,17,0.002605,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_17.jpg,,
63,262144000,agriVision,full,gabor,,blue,18,0.003173,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_18.jpg,,
64,262144000,agriVision,full,gabor,,blue,19,0.005563,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_19.jpg,,
65,262144000,agriVision,full,gabor,,blue,20,0.006347,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_20.jpg,,
66,262144000,agriVision,full,gabor,,blue,21,0.002037,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_21.jpg,,
67,262144000,agriVision,full,gabor,,blue,22,0.001996,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_22.jpg,,
68,262144000,agriVision,full,gabor,,blue,23,0.001676,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_23.jpg,,
69,262144000,agriVision,full,gabor,,blue,24,0.002657,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_24.jpg,,
70,262144000,agriVision,full,gabor,,blue,25,0.003088,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_25.jpg,,
71,262144000,agriVision,full,gabor,,blue,26,0.003499,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_26.jpg,,
72,262144000,agriVision,full,gabor,,blue,27,0.005336,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_27.jpg,,
73,262144000,agriVision,full,gabor,,blue,28,0.001224,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_28.jpg,,
74,262144000,agriVision,full,gabor,,blue,29,0.001080,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_29.jpg,,
75,262144000,agriVision,full,gabor,,blue,30,0.001700,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_30.jpg,,
76,262144000,agriVision,full,gabor,,blue,31,0.002952,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_31.jpg,,
77,262144000,agriVision,full,gabor,,blue,32,0.004345,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_32.jpg,,
78,262144000,agriVision,full,gabor,,blue,33,0.005595,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_33.jpg,,
79,262144000,agriVision,full,gabor,,blue,34,0.005680,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_34.jpg,,
80,262144000,agriVision,full,gabor,,blue,35,0.002569,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_35.jpg,,
81,262144000,agriVision,full,gabor,,blue,36,0.002017,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_36.jpg,,
82,262144000,agriVision,full,gabor,,blue,37,0.001633,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_37.jpg,,
83,262144000,agriVision,full,gabor,,blue,38,0.002872,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_38.jpg,,
84,262144000,agriVision,full,gabor,,blue,39,0.003296,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_39.jpg,,
85,262144000,agriVision,full,gabor,,blue,40,0.004056,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_40.jpg,,
86,262144000,agriVision,full,gabor,,blue,41,0.006390,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/blue/plots/compare_cdf_pdf_layer_41.jpg,,
87,262144000,agriVision,full,gabor,,gray,0,0.002083,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_0.jpg,,
88,262144000,agriVision,full,gabor,,gray,1,0.001474,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_1.jpg,,
89,262144000,agriVision,full,gabor,,gray,2,0.001087,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_2.jpg,,
90,262144000,agriVision,full,gabor,,gray,3,0.002597,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_3.jpg,,
91,262144000,agriVision,full,gabor,,gray,4,0.004495,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_4.jpg,,
92,262144000,agriVision,full,gabor,,gray,5,0.004448,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_5.jpg,,
93,262144000,agriVision,full,gabor,,gray,6,0.004292,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_6.jpg,,
94,262144000,agriVision,full,gabor,,gray,7,0.002691,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_7.jpg,,
95,262144000,agriVision,full,gabor,,gray,8,0.001678,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_8.jpg,,
96,262144000,agriVision,full,gabor,,gray,9,0.001377,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_9.jpg,,
97,262144000,agriVision,full,gabor,,gray,10,0.002077,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_10.jpg,,
98,262144000,agriVision,full,gabor,,gray,11,0.003694,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_11.jpg,,
99,262144000,agriVision,full,gabor,,gray,12,0.004929,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_12.jpg,,
100,262144000,agriVision,full,gabor,,gray,13,0.004161,0.0000839,1,FALSE,practically_pass,pass,https://github.com/yashdave003/hierarchical-bayesian-model-validation/blob/main/results/case-studies/agriVision/full/gabor/gray/plots/compare_cdf_pdf_layer_13.jpg,,
