filter_idx,obs_var,var_exclude_0,var_exclude_50,var_exclude_100,var_exclude_200,kstest_stat_0,kstest_stat_50,kstest_stat_100,kstest_stat_200,kstest_stat_plus100,kstest_stat_plus75,best_augmented_var,kstest_stat_plus50,kstest_stat_plus25,kstest_stat_plus0,kstest_stat_minus25,kstest_stat_minus50,kstest_stat_minus75,kstest_stat_minus100
23,7646.3076,7646.3076,7120.8013,6817.2266,6369.618,0.0043028132696632,0.0063482428638237,0.0056455731958633,0.0050343366208359,0.003658042495218422,0.0031645821142677333,7646.3076,0.0032021196121831963,0.002698293949164987,0.0022647478364127283,,,,
24,3284.2842,3284.2842,3025.6504,2885.0793,2680.3127,0.0063311465468726,0.005172172197465,0.0051897970740582,0.0061227029081816,0.005303404189724026,0.005151209720843486,3284.2842,0.004599071405823434,0.004132919019468759,0.0037731888677197123,0.004277753650300697,0.002948290777440965,,
25,1392.0839,1392.0839,1283.308,1224.277,1138.2068,0.0060066553131381,0.0064143603584281,0.0062380651141992,0.006182255144228,0.005421612585399305,0.0048764788141072435,1392.0839,0.004729662131347345,0.005174012963445274,0.0039931442541562,,,,
26,523.1902,523.1902,472.50317,446.77844,410.6551,0.0042597686778891,0.0054192622719292,0.0076088054162746,0.0074902856597542,0.005119703769649743,0.005068793082761425,523.1902,0.004585022365465097,0.004576139994098262,0.0037343656934294422,,,,
27,233.24254,233.24254,207.18991,194.28532,176.77782,0.0028190101901065,0.0051532166301484,0.0047961082870654,0.0057013711686544,0.006041733561955032,0.005117205310318562,233.24254,0.004784430024704744,0.004129912562874094,0.0027940691308641075,,,,
28,39469.312,39469.312,37612.664,36501.8,34777.293,0.0029757549808567,0.0027009027851044,0.0043931576337643,0.0051460443205124,0.003635124059967222,0.003463874566587699,39469.312,0.0031924557281050037,0.0027220540377382862,0.0027009027851044864,0.0020416161106285857,0.0017367493067526052,,
29,16664.488,16664.488,15477.655,14924.223,14106.533,0.0043475463616683,0.0045026976745802,0.0042795259577365,0.0048492131303566,0.004638474731056719,0.004246120839997314,16664.488,0.003960298498454917,0.003898267989525306,0.0033064788474408413,0.0033700737122784874,0.002976161001637667,0.002753687641749769,0.001994368194245366
30,6604.4487,6604.4487,6257.5396,6054.454,5743.477,0.0059421554712303,0.005354167553935,0.006239756530821,0.0056491104955866,0.005111924167624737,0.0047528825238961625,6604.4487,0.004573162879164427,0.004496536638413984,0.0040075614800892945,0.004171259891757817,0.0032642732183937317,,
31,2820.8447,2820.8447,2632.19,2529.8137,2377.5996,0.0050694833670282,0.0052316914101401,0.0071521741735589,0.0081225567724282,0.005253655118791278,0.004762093771823683,2820.8447,0.004221958966252548,0.004266653855810598,0.004191960296126118,,,,
32,1139.4574,1139.4574,1061.3059,1018.4619,955.1124,0.0078092571531968,0.0060377759662761,0.0075651070032812,0.0081249992661328,0.006802997011790435,0.006279200418473629,1139.4574,0.005971289708026517,0.005574742459621085,0.005765561504427419,0.005056915048105903,0.004486243058222761,,
33,463.0111,463.0111,424.69885,404.63855,375.71762,0.0042065160849336,0.0045145218741116,0.0058255831646829,0.0078073899539955,0.005264359703841481,0.00454617291511894,463.0111,0.004440156399211692,0.004052038269876657,0.0036946507381915017,,,,
34,200.22856,200.22856,181.93329,172.34644,158.44424,0.0041178629315023,0.0044721156478924,0.0058404515774545,0.0063308028619958,0.004277760148329479,0.0037677197116822644,200.22856,0.003472517536846631,0.0031063503758812505,0.0024197448351896966,,,,
35,44658.754,44658.754,41629.25,39823.707,37130.27,0.0023558227999667,0.0031461925778962,0.0023219350451444,0.0049546985189553,0.003705187969082469,0.0033298425184749222,42773.94,0.002970951286338064,0.002629253233854323,0.0022981859493613997,0.0018420081672919641,0.0014327469267771953,0.0011481839787690906,0.0012129036515409197
36,17877.676,17877.676,16339.304,15580.843,14472.3,0.0038158336450033,0.004470039198668,0.0028705639836498,0.0038598784401708,0.003859878440170883,0.003482326858527375,16831.475,0.003290882404327733,0.0028085201070798815,0.0023690940704828023,0.0019844326542515223,0.001608602795604,0.0013750626416884348,0.0015737614210231676
37,7418.999,7418.999,6786.041,6451.532,5967.1074,0.0032086178602319,0.0032713254578203,0.0046799537591989,0.0053122203790368,0.002684442296996048,0.002222781691414877,7418.999,0.0022485935741000107,0.0022160650191177522,0.0016128685351965988,,,,
38,3249.251,3249.251,2931.2021,2776.379,2558.8872,0.0039594872065112,0.0057351678953098,0.0042842481181367,0.0050663863195237,0.0034255501657376453,0.003534080425218744,3036.3938,0.003067464672832476,0.0025258407541483008,0.002661191784082362,,,,
39,1233.5691,1233.5691,1113.2555,1054.6799,971.67633,0.004414117127129,0.0067317267488526,0.0052057497442271,0.0057632316799882,0.004416403985857409,0.004251290539281638,1233.5691,0.0037346277177979226,0.0036591080964779588,0.0029359923193780224,,,,
40,519.884,519.884,461.92313,434.90436,397.34723,0.003911662957484,0.005219826709576,0.005665853491624,0.0062077711026645,0.007326441547179985,0.0065312797369526665,,0.006150609725872794,0.005755704359153478,0.0039116629574840744,,,,
41,214.69917,214.69917,185.94771,172.7368,155.2069,0.0047361031060656,0.0022081371376955,0.0045970950153197,0.0045080218438395,0.0035625019329360297,0.0033878874806363424,195.25015,0.0029923141748712245,0.002491330364298827,0.0022081371376955206,0.002102981894983813,0.002795667204193608,,
